X	Y
0	0
0	6857
6857	0
6857	6857
789.125	1252.875
792	1259.5
812.025	1263.925
697	1269.833333
811.3043478	1269.391304
818.5116279	1271.55814
767	1271.5
800	1272.5
757.5	1273
812.4047619	1274.47619
694.6	1273.8
745	1276
805	1276.590909
771.71875	1276.28125
797.4848485	1277.121212
675.5	1277.5
681.0714286	1278.071429
768.375	1277.875
811.0909091	1278.363636
700	1280
755	1281
764.4181818	1282.363636
771.952381	1281.809524
689.7	1283.88
767.8571429	1283.142857
781	1282.8
797.8214286	1284.428571
736.6153846	1283.384615
744.4583333	1283.083333
693.5555556	1287.055556
770.5294118	1287.647059
814.6923077	1293
810.9545455	1332.272727
854.2	1332.4
870.375	1331.6875
876	1331.5
881.5517241	1331.724138
661.5	1333.222222
803.5	1332.5
668.18	1335.46
816	1333.931034
886.3333333	1333.611111
618.7692308	1334.384615
872.2	1334.88
562.4117647	1336.117647
602.3846154	1335.615385
581.7741935	1337.064516
597.95	1336.2
617.3125	1337.4375
685.125	1336.875
743.8181818	1336.818182
801.4666667	1336.866667
877.9117647	1336.205882
518.2	1337.72
883.2647059	1338.088235
566	1339.565217
571.7142857	1339.142857
576	1338.5
579.6666667	1339.333333
589.2739726	1337.972603
621.4210526	1339.105263
873.9166667	1338.916667
549	1340
601.4705882	1339.941176
610.4	1339.6
725.5263158	1340.368421
827.2678571	1340.839286
842.6111111	1339.777778
868.5263158	1338.131579
617.3333333	1341.2
537.125	1342.125
613.8333333	1342.388889
802.7735849	1342.754717
852.5	1341.727273
871.7368421	1342.684211
887.1428571	1341.380952
582.8	1342.666667
604.6470588	1343.352941
688.9636364	1343.054545
865.75	1343.4
877.5128205	1342.820513
600.2	1344.533333
812.8846154	1344.230769
840.2083333	1343.416667
882.1904762	1344.047619
591.1612903	1344.548387
664.4	1344.26
819.7368421	1343.438596
843.3636364	1345.727273
586.4	1345.48
596.7692308	1346.230769
617.3684211	1345.947368
797.95	1346.15
886.2105263	1346.157895
582.7333333	1347.333333
626	1346.8
681.8	1347
787	1347
871.05	1347.425
594	1348.428571
674.1372549	1346.823529
686.5	1348
879.9555556	1348.6
548.2857143	1349.5
561.3846154	1348.384615
603.1904762	1349.047619
612.7118644	1348.576271
849.8981481	1346.898148
865.2708333	1349.895833
540	1350.5
607.4897959	1350.693878
558.7857143	1350.642857
585.5652174	1350.913043
590.1851852	1350.888889
657.3	1350.385714
693.5	1350.714286
833.6153846	1350.673077
859.5238095	1351.47619
574.4117647	1352.117647
580.6153846	1351.384615
599.5625	1351.5
685.3684211	1351.947368
854.7619048	1352.47619
873.1	1352.05
569.8125	1352.6875
632.875	1352.875
879.8571429	1352.714286
577.9047619	1354.52381
582.9375	1354.4375
596.1458333	1353.354167
602.5789474	1354.105263
626.8	1353.9
680.0416667	1353.041667
810.1621622	1354
886.8648649	1352.972973
620.125	1354.541667
624	1355
635.5	1354.714286
663.7446809	1354.957447
689.25	1354.625
800.4166667	1355
869.8571429	1355.190476
588.1923077	1356.115385
609.8333333	1355.833333
579.7857143	1357.785714
676.32	1356.76
874.4117647	1356.588235
584.15	1358.45
591.6785714	1358.964286
615.0454545	1356.613636
622.7857143	1358.357143
678.9875	1363.8875
787.5	1358
857.9056604	1357.339623
864.85	1359.5625
596.0625	1358.5625
554.5	1360
574.5	1359.8
608.1282051	1359.897436
616.704142	1366.952663
625.3846154	1360.615385
670.04	1360.933333
694.6147541	1359.401639
803.2222222	1359.277778
872.5217391	1360.217391
888.8	1360.15
563.7692308	1361.384615
567.4285714	1361.619048
601.5423729	1361.033898
580.1176471	1361.588235
595.5	1362.25
783	1362
828.5172414	1361.551724
879.0422535	1359.661972
885.1714286	1360.514286
586.8064516	1362.645161
622.25	1362.416667
805.2592593	1363.333333
855.8181818	1363
559	1364
682.2	1364
860.8421053	1364.157895
869.8412698	1365.666667
882.24	1365.64
585.3333333	1366.866667
590.7560976	1366.463415
604.2790698	1366.209302
638.7222222	1366.111111
650	1366
702.1818182	1365.818182
827.6296296	1365.555556
563.2857143	1367.5
596.8421053	1366.684211
654.4666667	1366.866667
695.9	1369.15
815.56	1366.6
876.8148148	1367.62963
576.6363636	1368.090909
625.1	1368.5
630.5	1367.5
642.5263158	1368.368421
856.0857143	1368.2
886.2777778	1367.722222
569.8	1369
593.4	1369.4
607.4210526	1368.894737
634.1923077	1369.115385
645.875	1368.875
758.2222222	1369
660.8333333	1370.066667
749.0714286	1370.142857
792.1666667	1370.25
843.3913043	1369.623188
580.25	1370.5625
584.3333333	1371.111111
639.0416667	1371.125
656.3809524	1369.857143
669.6	1370.6
688.2105263	1370.289474
736.5	1371.222222
799.6486486	1370.567568
831.6216216	1369.837838
562.4117647	1372.117647
601.84	1371.8
782	1372.5
846.7407407	1372.148148
576.2820513	1373.589744
625.15	1373.25
636	1373.090909
882.3366337	1373.188119
610.3888889	1373.222222
642.7142857	1373.642857
657.3571429	1373.785714
873.5	1373.305556
564.7	1374.7
594.4	1375.4
680.7916667	1374.25
806.8666667	1374.577778
863.5	1373.66
869.6538462	1372.923077
569.6153846	1376.384615
600.1176471	1376.411765
800.3846154	1375.230769
835.8787879	1375.090909
857.6666667	1375.555556
580.8571429	1376.755102
620.2857143	1376.5
792	1376.5
803.2142857	1376.857143
827.6969697	1376.636364
659.9166667	1377.833333
678.7368421	1378.368421
717.125	1378.125
888.3913043	1378.521739
797.5	1379.5
826.5789474	1380.526316
870.7894737	1379.684211
876.4210526	1379.342105
818.3239437	1379.957746
849.0117647	1378.835294
882.4	1380.2
583.5483871	1380.129032
618.6	1380.6
688.8965517	1380.827586
703.5384615	1381.153846
838.6	1381.05
589.2857143	1382.5
610.4375	1381.25
627.4166667	1382.25
684.5882353	1381.882353
636.6	1382.6
667.5	1383.285714
680.1454545	1384.8
845.0434783	1383.304348
647.5	1384
831.8169014	1384.422535
861.0416667	1384.291667
604.6153846	1385.615385
620.5	1385
625.5	1385
782.1538462	1384.615385
786.0909091	1385.045455
850.4285714	1387.311688
575	1385.5
671.2	1386
818.9705882	1386.235294
839.9	1385.866667
616.8	1386.5
885.8333333	1387.583333
600.6666667	1387.75
608.9583333	1387.666667
648.2857143	1387.642857
631.875	1389.125
790.0689655	1388.275862
877.6842105	1385.578947
604.173913	1390.565217
751.5333333	1389.866667
836.7	1390.633333
791.6086957	1391.782609
739.9117647	1392.676471
828.12	1391.48
878.8297872	1391.319149
651.5	1392.5
696.862069	1392.896552
778.952381	1393.571429
673.627907	1394.604651
710.5	1394
717.1111111	1394.277778
804.7	1393.35
834.1851852	1395.925926
881.9090909	1394.636364
841.2727273	1395.636364
847.3333333	1396.083333
860.425	1396.8
581.5	1398.2
661.5675676	1397.540541
832.9545455	1400.5
801.9444444	1399.888889
806.6428571	1399.857143
820.3921569	1399.921569
631.7727273	1401.909091
854.1463415	1404.02439
879.7222222	1403.611111
729.862069	1404.586207
815.8181818	1404.818182
827.3846154	1405.384615
839.5	1404.5
847.6666667	1404.433333
858.6363636	1405.454545
882.625	1406.4375
806.137931	1406.827586
654	1409.5
812.5	1409.5
848.375	1407.75
847.8918919	1411.486486
784	1412.5
840.35	1412.75
812	1414
830.2222222	1413.5
843.2272727	1415.681818
774.1904762	1415.952381
853.2	1417
712.6153846	1418.615385
851.4615385	1419.846154
858.7777778	1419.5
845.7272727	1420.636364
844.1176471	1432.411765
671.2173913	1435.347826
687.6	1439.4
691.5	1439.5
851.1111111	1440
803.0952381	1443.47619
822.8	1443.5
682.95	1446.25
854.952381	1446.380952
831	1446.5
845.5	1447
770.9545455	1457.272727
679.3333333	1461.388889
803.8571429	1461.857143
667.125	1463.875
719.0909091	1465.636364
697.9574468	1470.404255
708.5	1471.166667
771.5294118	1470.647059
838.3461538	1471.653846
805.4	1472.6
734	1473.5
648.5	1476.5
686.6111111	1477.361111
770.5	1478
778.4047619	1477.714286
789.5	1479.222222
721.6153846	1482.384615
685.5882353	1484.117647
697.7142857	1484.5
688.875	1486.125
774	1486
593.76	1487.52
676.5	1488.285714
699.5185185	1489.296296
853.5384615	1493.615385
660.8709677	1495.354839
647.8888889	1496.333333
679.2	1503
733.3846154	1504.384615
686.5769231	1506.423077
716.8709677	1509.16129
649.5714286	1512.928571
664.0625	1512.28125
775.5294118	1512.705882
705.6	1514.75
779.5	1514.125
672.6818182	1517.068182
666.8095238	1517.428571
724.3571429	1518.214286
684.5333333	1518.866667
706	1519
729.0909091	1518.636364
654.3255814	1518.837209
668.3636364	1520.454545
621	1520.333333
767.1764706	1520.882353
604.5882353	1521.882353
651.40625	1524.5
619.0625	1523.6875
667.2575758	1524.787879
678.8648649	1524.054054
706.625	1524.28125
719.05	1523.9
697.2533333	1523.773333
755	1526.83871
861.1176471	1525.529412
866.2631579	1525.842105
675.5294118	1528.235294
765.5	1527.285714
776	1526.789474
744.5	1528.5
666.7	1530.95
671.1428571	1528.928571
711.1111111	1529.111111
769.5	1531
860.75	1530.388889
726	1531
674.5	1532.5
708.6153846	1531.615385
626	1532.625
648.2	1532.76
732.1176471	1533.588235
736.875	1533.541667
633.7878788	1534.727273
665.0540541	1537.297297
691.1288889	1541.537778
712.875	1539.0625
776.6333333	1537.233333
771.6129032	1539.370968
661	1539
680.9836066	1539.409836
854.4583333	1539.166667
655.6862745	1539.176471
700.2096774	1537.290323
739.8	1539.36
765.9	1540
636.5	1541
780.3684211	1541.210526
736.673913	1543.478261
746	1542
705.12	1543.64
727.2666667	1543.666667
756.2727273	1543.727273
761.2857143	1544.142857
767.2916667	1543.958333
786.2051282	1543.076923
808.1	1545.3
734.125	1547.5625
771.2631579	1546.263158
775.6428571	1545.714286
801	1546
672	1547.5
730.173913	1546.565217
797	1547.117647
722.5277778	1548.888889
761.9	1549.05
780.2666667	1549.066667
647.8	1549.68
678.4155844	1551.233766
689.6	1549.6
776.9473684	1549.894737
793.6111111	1549.666667
708.3846154	1551.384615
768.2	1550.76
714.6333333	1552.5
795.1818182	1552.363636
565.7647059	1552.794118
744.8163265	1553.346939
553.5333333	1553.866667
679.5384615	1555.769231
699.3589744	1553.846154
672.1007752	1560.046512
560.173913	1556
657.8684211	1556.052632
740.0526316	1556.631579
765.0625	1556.09375
769.9166667	1557.5
777.8333333	1556.5
570.5833333	1557.75
711.372093	1557.953488
793.0618557	1557.340206
682.4390244	1559.439024
733.4153846	1558.723077
774.5263158	1559.368421
553.2857143	1559.642857
721.4285714	1559.678571
750.8266667	1559.36
690.1956522	1561.445652
780.36	1561.54
786.9333333	1561.333333
658.375	1560.875
658.6774194	1563.016129
678.2857143	1562.571429
699.9369369	1562.09009
804.48	1561.88
716.125	1563.59375
742.961165	1563.747573
559.1842105	1563.421053
572.6923077	1563.538462
685.8461538	1563.961538
708.2	1564.733333
567	1564.5
663.8888889	1565.814815
707.4	1569.433333
618.1071429	1567.071429
682.4	1566.466667
793.6969697	1566.272727
677.0740741	1567.407407
695.2592593	1569.333333
774.15625	1567.125
730.2352941	1568.294118
799.2368421	1568.052632
671.5882353	1570.764706
687.2666667	1570
788.7142857	1569.5
711.6	1575.722222
732.1666667	1572.277778
755.5277778	1570.666667
563.9	1572.05
666.1538462	1571.397436
738.7142857	1571.904762
632.4117647	1573.352941
691.2352941	1572.294118
769.6315789	1574.75
647.5	1574
694.930303	1580.872727
726.1818182	1575.5
811	1574.235294
792	1574.869565
662.8387097	1578.354839
782.3333333	1575.833333
628.7916667	1576.916667
670.8181818	1578.545455
679.3598131	1576.46729
734.625	1580.898438
743.7954545	1577.454545
789.125	1578.0625
815.25	1578.178571
624.5909091	1579.272727
785.037037	1578.925926
771.2105263	1580.052632
805.2830189	1580.811321
719.4761905	1580.857143
723.7619048	1581.190476
751.3571429	1580.535714
779.4358974	1579.692308
874.6	1580.6
622.3571429	1582.714286
649	1582
709.2142857	1583.892857
755.5	1583.5
657.4117647	1583.882353
760.6451613	1583.612903
668.4285714	1586
629.7931034	1586.206897
672.1851852	1584.333333
741.9655172	1586.793103
812.2	1586
749.3611111	1588.319444
806	1588
600.6206897	1587.551724
677.8214286	1587.571429
767.030303	1588.606061
821.7916667	1587.125
608.1612903	1589.645161
652.5454545	1588.363636
711.125	1589.0625
719.9090909	1589.090909
734.9777778	1590.4
818.1538462	1590.153846
890.3076923	1589.961538
566.8333333	1590.388889
620.5645161	1590.919355
757.2439024	1591.036585
777.5	1591
770.7826087	1592.130435
784.5882353	1592.117647
886.3333333	1593.361111
720.4	1593.6
806.8666667	1593.533333
603.0333333	1595.233333
709.8484848	1593.969697
742.4255319	1598.489362
762.2222222	1594.944444
627.4	1595.142857
727.3809524	1595.904762
748.1875	1595.59375
798	1595.8
689.6538462	1598
735.7	1596.6
759.0909091	1597
609.1428571	1597.918367
665.5	1597.714286
765.2857143	1598.357143
584.0909091	1598.090909
720.1690141	1600.183099
775.0571429	1598.571429
785.1666667	1599.592593
870.2	1599.433333
881.09375	1598.71875
737.9	1603.24
